1,0,724,283,226,514,1,-1,-1,-1
1,1,1336,500,67,153,1,-1,-1,-1
1,2,1286,545,47,108,1,-1,-1,-1
1,3,1305,500,67,153,1,-1,-1,-1
1,4,107,494,103,234,1,-1,-1,-1
2,0,724,283,226,514,1,-1,-1,-1
2,1,1336,500,67,153,1,-1,-1,-1
2,2,1286,545,47,108,1,-1,-1,-1
2,3,1305,500,67,153,1,-1,-1,-1
2,4,107,494,103,234,1,-1,-1,-1
2,5,58,566,79,181,1,-1,-1,-1
2,6,1312,503,61,139,1,-1,-1,-1
2,7,1776,473,113,257,1,-1,-1,-1
2,8,1254,537,52,118,1,-1,-1,-1
2,9,55,542,94,214,1,-1,-1,-1
2,10,1641,494,40,91,1,-1,-1,-1
3,0,724,283,226,514,1,-1,-1,-1
3,1,1336,500,67,153,1,-1,-1,-1
3,2,1286,545,47,108,1,-1,-1,-1
3,3,1305,500,67,153,1,-1,-1,-1
3,4,107,494,103,234,1,-1,-1,-1
3,5,58,566,79,181,1,-1,-1,-1
3,7,1776,473,113,257,1,-1,-1,-1
3,11,1742,513,94,214,1,-1,-1,-1
3,12,1664,418,135,307,1,-1,-1,-1
3,13,1312,503,61,139,1,-1,-1,-1
3,14,1776,473,113,257,1,-1,-1,-1
3,15,1234,415,103,234,1,-1,-1,-1
3,16,107,494,103,234,1,-1,-1,-1
3,17,51,555,87,199,1,-1,-1,-1
4,0,724,283,226,514,1,-1,-1,-1
4,1,1336,500,67,153,1,-1,-1,-1
4,2,1286,545,47,108,1,-1,-1,-1
4,3,1305,500,67,153,1,-1,-1,-1
4,4,107,494,103,234,1,-1,-1,-1
4,5,58,566,79,181,1,-1,-1,-1
4,18,1602,403,113,257,1,-1,-1,-1
4,19,1759,473,113,257,1,-1,-1,-1
4,20,1852,505,30,70,1,-1,-1,-1
4,21,1305,500,67,153,1,-1,-1,-1
4,22,107,494,103,234,1,-1,-1,-1
4,23,58,566,79,181,1,-1,-1,-1
5,0,724,283,226,514,1,-1,-1,-1
5,1,1336,500,67,153,1,-1,-1,-1
5,2,1286,545,47,108,1,-1,-1,-1
5,18,1602,403,113,257,1,-1,-1,-1
5,24,1320,462,30,70,1,-1,-1,-1
5,25,1263,545,47,108,1,-1,-1,-1
5,26,1318,537,52,118,1,-1,-1,-1
5,27,1643,396,159,362,1,-1,-1,-1
6,0,724,283,226,514,1,-1,-1,-1
6,1,1336,500,67,153,1,-1,-1,-1
6,2,1286,545,47,108,1,-1,-1,-1
6,18,1602,403,113,257,1,-1,-1,-1
6,24,1320,462,30,70,1,-1,-1,-1
6,25,1263,545,47,108,1,-1,-1,-1
6,28,1666,385,146,332,1,-1,-1,-1
6,29,1849,510,28,64,1,-1,-1,-1
6,30,1333,498,56,128,1,-1,-1,-1
6,31,1318,537,52,118,1,-1,-1,-1
6,32,1741,473,113,257,1,-1,-1,-1
6,33,107,494,103,234,1,-1,-1,-1
7,0,724,283,226,514,1,-1,-1,-1
7,1,1336,500,67,153,1,-1,-1,-1
7,2,1286,545,47,108,1,-1,-1,-1
7,18,1602,403,113,257,1,-1,-1,-1
7,24,1320,462,30,70,1,-1,-1,-1
7,25,1263,545,47,108,1,-1,-1,-1
7,34,1668,371,159,362,1,-1,-1,-1
7,35,1849,510,28,64,1,-1,-1,-1
7,36,1316,489,67,153,1,-1,-1,-1
7,37,1351,506,56,128,1,-1,-1,-1
7,38,159,550,40,91,1,-1,-1,-1
7,39,1263,545,47,108,1,-1,-1,-1
8,0,724,283,226,514,1,-1,-1,-1
8,1,1336,500,67,153,1,-1,-1,-1
8,2,1286,545,47,108,1,-1,-1,-1
8,18,1602,403,113,257,1,-1,-1,-1
8,24,1320,462,30,70,1,-1,-1,-1
8,40,1727,418,135,307,1,-1,-1,-1
8,41,266,463,103,234,1,-1,-1,-1
8,42,1848,505,30,70,1,-1,-1,-1
8,43,123,494,103,234,1,-1,-1,-1
8,44,257,455,113,257,1,-1,-1,-1
9,0,724,283,226,514,1,-1,-1,-1
9,1,1336,500,67,153,1,-1,-1,-1
9,2,1286,545,47,108,1,-1,-1,-1
9,18,1602,403,113,257,1,-1,-1,-1
9,24,1320,462,30,70,1,-1,-1,-1
9,40,1727,418,135,307,1,-1,-1,-1
9,41,266,463,103,234,1,-1,-1,-1
9,45,1666,385,146,332,1,-1,-1,-1
9,46,1326,489,67,153,1,-1,-1,-1
9,47,1848,505,30,70,1,-1,-1,-1
9,48,1727,418,135,307,1,-1,-1,-1
9,49,142,521,52,118,1,-1,-1,-1
9,50,1274,551,43,98,1,-1,-1,-1
9,51,266,463,103,234,1,-1,-1,-1
10,0,724,283,226,514,1,-1,-1,-1
10,1,1336,500,67,153,1,-1,-1,-1
10,2,1286,545,47,108,1,-1,-1,-1
10,18,1602,403,113,257,1,-1,-1,-1
10,24,1320,462,30,70,1,-1,-1,-1
10,41,266,463,103,234,1,-1,-1,-1
10,52,1689,385,146,332,1,-1,-1,-1
10,53,1326,500,67,153,1,-1,-1,-1
10,54,146,515,56,128,1,-1,-1,-1
10,55,266,463,103,234,1,-1,-1,-1
10,56,1278,545,47,108,1,-1,-1,-1
10,57,1849,510,28,64,1,-1,-1,-1
11,0,724,283,226,514,1,-1,-1,-1
11,1,1336,500,67,153,1,-1,-1,-1
11,2,1286,545,47,108,1,-1,-1,-1
11,18,1602,403,113,257,1,-1,-1,-1
11,24,1320,462,30,70,1,-1,-1,-1
11,41,266,463,103,234,1,-1,-1,-1
11,58,1689,385,146,332,1,-1,-1,-1
11,59,1326,500,67,153,1,-1,-1,-1
11,60,266,463,103,234,1,-1,-1,-1
11,61,1278,545,47,108,1,-1,-1,-1
11,62,171,481,26,59,1,-1,-1,-1
11,63,1844,367,94,214,1,-1,-1,-1
12,0,724,283,226,514,1,-1,-1,-1
12,1,1336,500,67,153,1,-1,-1,-1
12,2,1286,545,47,108,1,-1,-1,-1
12,18,1602,403,113,257,1,-1,-1,-1
